YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,ENROLLMENT_GRADES_K_12,DISCIPLINE_INCIDENTS,DISCIPLINE_INCIDENT_RATE,DISCIPLINE_ALCOHOL,DISCIPLINE_ALCOHOL_RATE,DISCIPLINE_DRUG,DISCIPLINE_DRUG_RATE,DISCIPLINE_OTHER,DISCIPLINE_OTHER_RATE,DISCIPLINE_TOBACCO,DISCIPLINE_TOBACCO_RATE,DISCIPLINE_VIOLENCE,DISCIPLINE_VIOLENCE_RATE,DISCIPLINE_WEAPON,DISCIPLINE_WEAPON_RATE,DISCIPLINE_REMOVAL_IN_SCHL_SUSP,DISCIPLINE_REMOVAL_IN_SCHL_SUSP_RATE,DISCIPLINE_REMOVAL_OUT_SCHL_SUSP,DISCIPLINE_REMOVAL_OUT_SCHL_SUSP_RATE,DISCIPLINE_REMOVAL_EXPULSION,DISCIPLINE_EXPULSION_RATE,DISCIPLINE_MORE_10_DAYS,DISCIPLINE_MORE_10_DAYS_RATE
2001,001090,ADAIR CO. R-I,323,5,1.5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,001090,ADAIR CO. R-I,322,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,001090,ADAIR CO. R-I,315,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,001090,ADAIR CO. R-I,311,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2005,001090,ADAIR CO. R-I,307,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,001090,ADAIR CO. R-I,303,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,001090,ADAIR CO. R-I,293,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2008,001090,ADAIR CO. R-I,287,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2009,001090,ADAIR CO. R-I,266,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010,001090,ADAIR CO. R-I,260,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2011,001090,ADAIR CO. R-I,253,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,001090,ADAIR CO. R-I,255,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,001090,ADAIR CO. R-I,263,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,001090,ADAIR CO. R-I,279,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,001090,ADAIR CO. R-I,258,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2016,001090,ADAIR CO. R-I,232,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,001090,ADAIR CO. R-I,230,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,001090,ADAIR CO. R-I,221,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,001090,ADAIR CO. R-I,219,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,001090,ADAIR CO. R-I,225,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021,001090,ADAIR CO. R-I,208,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,001090,ADAIR CO. R-I,221,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2023,001090,ADAIR CO. R-I,234,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2001,001091,KIRKSVILLE R-III,2342,6,0.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,001091,KIRKSVILLE R-III,2346,6,0.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,001091,KIRKSVILLE R-III,2396,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,001091,KIRKSVILLE R-III,2394,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2005,001091,KIRKSVILLE R-III,2421,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,001091,KIRKSVILLE R-III,2443,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,001091,KIRKSVILLE R-III,2471,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2008,001091,KIRKSVILLE R-III,2524,12,0.5,*,*,*,*,11,0.4,*,*,*,*,*,*,*,*,11,0.4,*,*,*,*
2009,001091,KIRKSVILLE R-III,2431,18,0.7,*,*,*,*,16,0.7,*,*,*,*,*,*,*,*,17,0.7,*,*,12,0.5
2010,001091,KIRKSVILLE R-III,2490,6,0.2,*,*,*,*,6,0.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2011,001091,KIRKSVILLE R-III,2419,11,0.5,*,*,*,*,5,0.2,*,*,*,*,*,*,*,*,10,0.4,*,*,*,*
2012,001091,KIRKSVILLE R-III,2457,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,001091,KIRKSVILLE R-III,2457,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,001091,KIRKSVILLE R-III,2436,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,001091,KIRKSVILLE R-III,2382,13,0.5,*,*,*,*,9,0.4,*,*,*,*,*,*,*,*,13,0.5,*,*,7,0.3
2016,001091,KIRKSVILLE R-III,2394,8,0.3,*,*,*,*,6,0.3,*,*,*,*,*,*,*,*,8,0.3,*,*,*,*
2017,001091,KIRKSVILLE R-III,2416,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,001091,KIRKSVILLE R-III,2440,11,0.5,*,*,*,*,8,0.3,*,*,*,*,*,*,*,*,8,0.3,*,*,*,*
2019,001091,KIRKSVILLE R-III,2419,12,0.5,*,*,*,*,8,0.3,*,*,*,*,*,*,*,*,12,0.5,*,*,*,*
2020,001091,KIRKSVILLE R-III,2373,22,0.9,*,*,8,0.3,11,0.5,*,*,*,*,*,*,*,*,20,0.8,*,*,5,0.2
2021,001091,KIRKSVILLE R-III,2292,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,001091,KIRKSVILLE R-III,2297,17,0.7,*,*,*,*,12,0.5,*,*,*,*,*,*,*,*,17,0.7,*,*,*,*
2023,001091,KIRKSVILLE R-III,2320,26,1.1,*,*,*,*,20,0.9,*,*,*,*,*,*,*,*,26,1.1,*,*,*,*
2001,001092,ADAIR CO. R-II,269,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,001092,ADAIR CO. R-II,281,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,001092,ADAIR CO. R-II,257,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,001092,ADAIR CO. R-II,258,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2005,001092,ADAIR CO. R-II,252,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,001092,ADAIR CO. R-II,248,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,001092,ADAIR CO. R-II,249,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2008,001092,ADAIR CO. R-II,251,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2009,001092,ADAIR CO. R-II,257,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010,001092,ADAIR CO. R-II,241,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2011,001092,ADAIR CO. R-II,237,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,001092,ADAIR CO. R-II,215,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,001092,ADAIR CO. R-II,210,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,001092,ADAIR CO. R-II,192,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,001092,ADAIR CO. R-II,181,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2016,001092,ADAIR CO. R-II,180,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,001092,ADAIR CO. R-II,175,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,001092,ADAIR CO. R-II,155,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,001092,ADAIR CO. R-II,149,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,001092,ADAIR CO. R-II,149,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021,001092,ADAIR CO. R-II,145,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,001092,ADAIR CO. R-II,134,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2023,001092,ADAIR CO. R-II,140,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2001,002089,NORTH ANDREW CO. R-VI,362,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,002089,NORTH ANDREW CO. R-VI,351,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,002089,NORTH ANDREW CO. R-VI,367,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,002089,NORTH ANDREW CO. R-VI,379,8,2.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,1.6,*,*,*,*
2005,002089,NORTH ANDREW CO. R-VI,369,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,002089,NORTH ANDREW CO. R-VI,399,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,002089,NORTH ANDREW CO. R-VI,388,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2008,002089,NORTH ANDREW CO. R-VI,366,5,1.4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2009,002089,NORTH ANDREW CO. R-VI,368,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010,002089,NORTH ANDREW CO. R-VI,358,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2011,002089,NORTH ANDREW CO. R-VI,384,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,002089,NORTH ANDREW CO. R-VI,379,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,002089,NORTH ANDREW CO. R-VI,387,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,002089,NORTH ANDREW CO. R-VI,360,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,002089,NORTH ANDREW CO. R-VI,341,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2016,002089,NORTH ANDREW CO. R-VI,364,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,002089,NORTH ANDREW CO. R-VI,370,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,002089,NORTH ANDREW CO. R-VI,356,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,002089,NORTH ANDREW CO. R-VI,359,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,002089,NORTH ANDREW CO. R-VI,350,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021,002089,NORTH ANDREW CO. R-VI,333,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,002089,NORTH ANDREW CO. R-VI,312,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2023,002089,NORTH ANDREW CO. R-VI,307,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2001,002090,AVENUE CITY R-IX,132,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,002090,AVENUE CITY R-IX,130,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,002090,AVENUE CITY R-IX,120,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2005,002090,AVENUE CITY R-IX,117,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,002090,AVENUE CITY R-IX,134,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,002090,AVENUE CITY R-IX,137,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2008,002090,AVENUE CITY R-IX,138,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2009,002090,AVENUE CITY R-IX,128,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010,002090,AVENUE CITY R-IX,133,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2011,002090,AVENUE CITY R-IX,139,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,002090,AVENUE CITY R-IX,138,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,002090,AVENUE CITY R-IX,141,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,002090,AVENUE CITY R-IX,152,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,002090,AVENUE CITY R-IX,165,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2016,002090,AVENUE CITY R-IX,151,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,002090,AVENUE CITY R-IX,151,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,002090,AVENUE CITY R-IX,158,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,002090,AVENUE CITY R-IX,159,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,002090,AVENUE CITY R-IX,163,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021,002090,AVENUE CITY R-IX,167,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,002090,AVENUE CITY R-IX,192,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2023,002090,AVENUE CITY R-IX,195,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2001,002097,SAVANNAH R-III,2405,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,002097,SAVANNAH R-III,2399,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,002097,SAVANNAH R-III,2391,11,0.5,*,*,*,*,5,0.2,*,*,*,*,*,*,*,*,11,0.5,*,*,*,*
2004,002097,SAVANNAH R-III,2387,7,0.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,0.3,*,*,*,*
2005,002097,SAVANNAH R-III,2378,10,0.4,*,*,*,*,9,0.4,*,*,*,*,*,*,*,*,10,0.4,*,*,*,*
2006,002097,SAVANNAH R-III,2351,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,002097,SAVANNAH R-III,2362,6,0.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,0.3,*,*,*,*
2008,002097,SAVANNAH R-III,2383,6,0.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,0.3,*,*,*,*
2009,002097,SAVANNAH R-III,2356,9,0.4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,0.3,*,*,*,*
2010,002097,SAVANNAH R-III,2349,5,0.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,0.2,*,*,*,*
2011,002097,SAVANNAH R-III,2322,6,0.3,*,*,*,*,5,0.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,002097,SAVANNAH R-III,2319,10,0.4,*,*,*,*,8,0.3,*,*,*,*,*,*,*,*,8,0.3,*,*,*,*
2013,002097,SAVANNAH R-III,2288,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,002097,SAVANNAH R-III,2250,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,002097,SAVANNAH R-III,2310,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2016,002097,SAVANNAH R-III,2252,7,0.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,0.3,*,*,*,*
2017,002097,SAVANNAH R-III,2312,8,0.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,0.3,*,*,*,*
2018,002097,SAVANNAH R-III,2306,10,0.4,*,*,*,*,6,0.3,*,*,*,*,*,*,*,*,10,0.4,*,*,*,*
2019,002097,SAVANNAH R-III,2293,11,0.5,*,*,11,0.5,*,*,*,*,*,*,*,*,*,*,11,0.5,*,*,*,*
2020,002097,SAVANNAH R-III,2320,6,0.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,0.3,*,*,*,*
2021,002097,SAVANNAH R-III,2253,5,0.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,002097,SAVANNAH R-III,2278,18,0.8,*,*,*,*,9,0.4,*,*,*,*,*,*,*,*,16,0.7,*,*,*,*
2023,002097,SAVANNAH R-III,2271,17,0.7,8,0.4,*,*,6,0.3,*,*,*,*,*,*,*,*,16,0.7,*,*,*,*
2001,003031,TARKIO R-I,462,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,003031,TARKIO R-I,455,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,003031,TARKIO R-I,457,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,003031,TARKIO R-I,444,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2005,003031,TARKIO R-I,439,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,003031,TARKIO R-I,417,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,003031,TARKIO R-I,403,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2008,003031,TARKIO R-I,366,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2009,003031,TARKIO R-I,349,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010,003031,TARKIO R-I,331,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2011,003031,TARKIO R-I,330,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,003031,TARKIO R-I,320,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,003031,TARKIO R-I,291,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,003031,TARKIO R-I,302,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,003031,TARKIO R-I,276,5,1.8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,1.8,*,*,*,*
2016,003031,TARKIO R-I,296,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,003031,TARKIO R-I,290,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,003031,TARKIO R-I,319,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,003031,TARKIO R-I,334,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,003031,TARKIO R-I,321,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021,003031,TARKIO R-I,324,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,003031,TARKIO R-I,327,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2023,003031,TARKIO R-I,316,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2001,003032,ROCK PORT R-II,411,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,003032,ROCK PORT R-II,382,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,003032,ROCK PORT R-II,369,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,003032,ROCK PORT R-II,369,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2005,003032,ROCK PORT R-II,355,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,003032,ROCK PORT R-II,354,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,003032,ROCK PORT R-II,360,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2008,003032,ROCK PORT R-II,375,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2009,003032,ROCK PORT R-II,384,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010,003032,ROCK PORT R-II,374,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2011,003032,ROCK PORT R-II,363,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,003032,ROCK PORT R-II,347,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,003032,ROCK PORT R-II,338,6,1.8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,003032,ROCK PORT R-II,339,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,003032,ROCK PORT R-II,318,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2016,003032,ROCK PORT R-II,327,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,003032,ROCK PORT R-II,341,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,003032,ROCK PORT R-II,338,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,003032,ROCK PORT R-II,346,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,003032,ROCK PORT R-II,335,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021,003032,ROCK PORT R-II,330,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,003032,ROCK PORT R-II,333,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2023,003032,ROCK PORT R-II,335,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2001,003033,FAIRFAX R-III,182,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,003033,FAIRFAX R-III,166,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,003033,FAIRFAX R-III,155,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,003033,FAIRFAX R-III,167,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2005,003033,FAIRFAX R-III,160,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,003033,FAIRFAX R-III,150,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,003033,FAIRFAX R-III,170,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2008,003033,FAIRFAX R-III,169,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2009,003033,FAIRFAX R-III,164,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010,003033,FAIRFAX R-III,165,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2011,003033,FAIRFAX R-III,154,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,003033,FAIRFAX R-III,141,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,003033,FAIRFAX R-III,137,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,003033,FAIRFAX R-III,124,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,003033,FAIRFAX R-III,125,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2016,003033,FAIRFAX R-III,135,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,003033,FAIRFAX R-III,141,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,003033,FAIRFAX R-III,141,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,003033,FAIRFAX R-III,139,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,003033,FAIRFAX R-III,145,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021,003033,FAIRFAX R-III,135,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,003033,FAIRFAX R-III,142,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2023,003033,FAIRFAX R-III,134,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2001,004106,COMMUNITY R-VI,388,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
